Scale,High_ID,High_material,High_d2H,High_d2H_sd,High_d2H_n,High_d2H_se,Low_ID,Low_material,Low_d2H,Low_d2H_sd,Low_d2H_n,Low_d2Hse,Citation,Reference,Ref_Scale,Treatment,Notes,Notes2
DEN_1,LAB_1,AK bear hair ,-63,,,,AKB_1,LA bear hair,-164,,,,Stricker unpubl data,This study ,DEN_1,exch with two eqib waters/calibration to PEF ? ,backcalc by reversing rescaling function,
DEN_2,LAB_2,AK bear hair ,-78.1,3,29,0.56,AKB_2,LA bear hair,-171.5,3.3,30,0.60,Stricker unpubl data,This study ,OldSA_1,comp eqib against Old SA 1,,
OldSA_1,BWB_1,Bowhead whale baleen,-108,4,,,CHS_1,Cow hoof keratin,-187,2,,,Qi and Coplen 2011 Rapid Comm Mass Spec,Wassenaar and Hobson 2003 Isotopes Env Health Studies,OldSA_1,offline-eqib dual-inlet method by Wassenaar and Hobson 2000 Env Sci Tech,,
SA_1,KHS_1,Kudu Horn Standard,-37.1,2.6,,,CBS_1,Caribou Hoof Standard,-166.3,2.7,,,Soto et al. 2017 Rapid Comm Mass Spec,Qi and Coplen 2011 Rapid Comm Mass Spec,SA_1,"exch with two eqib waters at ambient T for 6 d, evacuated using different methods; assumed eps = 0 per mil; glassy C-filled reactor",,
SA_2,KHS_2,Kudu Horn Standard,-41,5.5,,,CBS_2,Caribou Hoof Standard,-177.9,2.1,,,Soto et al. 2017 Rapid Comm Mass Spec,Qi and Coplen 2011 Rapid Comm Mass Spec,SA_2,"exch with two eqib waters at 120 C, evacuated using different methods; assumed eps = 0 per mil; glassy C-filled reactor",,
SA_3,KHS_3,Kudu Horn Standard,-35.5,3.6,,,CBS_3,Caribou Hoof Standard,-153.3,3.8,,,Soto et al. 2017 Rapid Comm Mass Spec,Wassenaar et al. 2015 Rapid Comm Mass Spec,SA_3,"exch with two eqib waters at 70 C for 2 h, evacuated and flushed with He online; assumed eps = 80 per mil; glassy C-filled reactor",,
SA_4,KHS_4,Kudu Horn Standard,-47.5,1,,,CBS_4,Caribou Hoof Standard,-178.8,2.2,,,Soto et al. 2017 Rapid Comm Mass Spec,Wassenaar et al. 2015 Rapid Comm Mass Spec,SA_4,"exch with two eqib waters at 105 C for 2 h, evacuated and flushed with He online; assumed eps = 80 per mil; glassy C-filled reactor",,
SA_5,KHS_5,Kudu Horn Standard,-54.7,3.12,711,0.12,CBS_5,Caribou Hoof Standard,-197.2,4.34,689,0.17,Soto et al. 2017 Rapid Comm Mass Spec,This study,OldSA_1,comp eqib against Old SA 1,,
SA_6,KHS_6,Kudu Horn Standard,-35.3,1.1,5,0.49,CBS_6,Caribou Hoof Standard,-157,0.9,5,0.40,Soto et al. 2017 Rapid Comm Mass Spec,This study,VSMOW,exch with two eqib waters over a range of Ts (25-105 C) and drying procedures; assumed eps = 0 per mil; Cr-filled reactor,,
OldUT_1,FH_1,Florida horse hair,-76.3,,,,UH_1,Utah horse hair,-141.6,,,,Chesson 2012 IsoForensics Rep,Bowen et al. 2005 Rapid Comm Mass Spec,OldUT_1,calibration against cellulose/PEF,2005,
