Scale,High_ID,High_material,High_d18O,High_d18O_sd,High_d18O_n,High_d18O_se,Low_ID,Low_material,Low_d18O,Low_d18O_sd,Low_d18O_n,Low_d18O_se,Citation,Reference,Ref_scale,Treatment,Notes,Notes2
OldSA_2,CHS_2,Cow hoof keratin,5.59,0.24,8,0.08,CFS_2,Chicken feather keratin,5.38,0.03,4,0.02,Qi et al. 2011 Rapid Comm Mass Spec,This study,OldSA_2,"Newly packed GC column, peak detected on mass 28",,"Not comp to Old SA 1 for H; also, CHS < CFS for H; CHS > CFS for O "
OldSA_3,BWB_2,Bowhead whale baleen,12.82,0.13,3,0.08,CFS_3,Chicken feather keratin,5.24,0.02,3,0.01,Qi et al. 2011 Rapid Comm Mass Spec,This study,VSMOW,New GC column and normalised using reference waters sealed in silver tubes,,"Not comp to Old SA 1 for H; also, CHS < CFS for H; CHS > CFS for O "
SA_7,KHS_7,Kudu Horn Standard,20.3,0.3,,,CBS_7,Caribou Hoof Standard,3.8,0.3,,,Coplen 2017 USGS Rep ,This study,SA_7,Pre-treatment with a prep device designed to eliminate residual moisture and quantify exch H,How many analyses?,Not comp to any SA scales
SA_8,KHS_8,Kudu Horn Standard,21.46,0.03,,,CBS_8,Caribou Hoof Standard,2.5,0.11,,,Qi et al. 2011 Rapid Comm Mass Spec,This study,SA_8,"Newly packed GC column, peak detected on mass 28",,Not comp to any SA scales for H
SA_6,KHS_6,Kudu Horn Standard,21.21,0.17,4,0.09,CBS_6,Caribou Hoof Standard,2.39,0.13,4,0.07,Qi et al. 2011 Rapid Comm Mass Spec,This study,VSMOW,New GC column and normalised using reference waters sealed in silver tubes,,Comp to any SA 6 for H
OldUT_1,FH_1,Florida horse hair,14.85,,,,UH_1,Utah horse hair,5.67,,,,Chesson 2012 IsoForensics Rep,Bowen et al. 2005 Rapid Comm Mass Spec,OldUT_1,calibration against cellulose,2005,Comp to Old UT 1 for H
OldUT_2,FH_2,Florida horse hair,13.22,0.21,6,0.09,UH_2,Utah horse hair,3.49,0.16,6,0.07,Coplen and Qi 2012 Forensic Sci Int ,This study,US_1,comp eqib against US 1,,Comp to Old UT 2 for H
OldUT_4,FH_4,Florida horse hair,14.67,0.27,,,UH_4,Utah horse hair,5.35,0.18,,,Chesson 2012 IsoForensics Rep; Howa unpubl data,This study ,OldUT_4,calibration against IAEA601/IAEA601 (d2H values: 23.3/71.4),2012,Comp to Old UT 4 for H 
UT_2,ORX_2,Oryx antelope horn from Ethiopia,25.09,0.3,,,DS_2,Dall sheep horn from Alaskan interior,6.02,0.24,,,Chesson 2012 IsoForensics Rep; Howa unpubl data,This study ,UT_2,IsoForensics; calibration against IAEA601/IAEA601 (d2H values: 23.3/71.4),2012,Comp to UT 2 for H
UT_3,ORX_3,Oryx antelope horn from Ethiopia,,,,,DS_3,Dall sheep horn from Alaskan interior,4.43,,,,Howa unpubl data,This study ,UT_3,Cornell; calibration against IAEA601/IAEA601 (d2H values: 23.3/71.4),,Comp to UT 3 for H
UT_4,ORX_4,Oryx antelope horn from Ethiopia,22.82,,,,DS_4,Dall sheep horn from Alaskan interior,4.66,,,,Howa unpubl data,This study ,UT_4,Davis; calibration against IAEA601/IAEA601 (d2H values: 23.3/71.4),,Comp to UT 4 for H
UT_5,ORX_5,Oryx antelope horn from Ethiopia,23.45,,,,DS_5,Dall sheep horn from Alaskan interior,4.93,,,,Howa unpubl data,This study ,SA_6,Texas A&M; comp eqib against SA 6,,Comp to UT 5 for H
CAN_6,AND_6,Canadian hair,12.26,0.05,,,CAL-SAL_6,Canadian hair,5.95,0.11,,,Qi et al. 2011 Rapid Comm Mass Spec,This study,CAN_6,"Newly packed GC column, peak detected on mass 28",,"Not comp to any CANH scales for H; also, CAL-SAL < CAL-CAN for H; CAL-CAN < CAL-SAL for O"
