"Sample_ID","Sample_ID_orig","Site_ID","Dataset_ID","Taxon","Group","Source_quality","Age_class","Material_type","Matrix","d2H","d2H.sd","d18O","d18O.sd"
59,NA,18,2,"Setophaga ruticilla","Passerine","known source",NA,"Feather","Keratin",-78.3,0.56,NA,NA
60,NA,19,2,"Setophaga ruticilla","Passerine","known source",NA,"Feather","Keratin",-67.4,0.56,NA,NA
61,NA,20,2,"Setophaga ruticilla","Passerine","known source",NA,"Feather","Keratin",-66.5,0.56,NA,NA
62,NA,20,2,"Setophaga ruticilla","Passerine","known source",NA,"Feather","Keratin",-76.9,0.56,NA,NA
63,NA,21,2,"Setophaga ruticilla","Passerine","known source",NA,"Feather","Keratin",-79.6,0.56,NA,NA
64,NA,22,2,"Setophaga ruticilla","Passerine","known source",NA,"Feather","Keratin",-50.9,0.56,NA,NA
65,NA,23,2,"Setophaga ruticilla","Passerine","known source",NA,"Feather","Keratin",-107.1,0.56,NA,NA
66,NA,23,2,"Setophaga ruticilla","Passerine","known source",NA,"Feather","Keratin",-96.8,0.56,NA,NA
67,NA,24,2,"Setophaga ruticilla","Passerine","known source",NA,"Feather","Keratin",-63.3,0.56,NA,NA
68,NA,25,2,"Setophaga ruticilla","Passerine","known source",NA,"Feather","Keratin",-73,0.56,NA,NA
69,NA,26,2,"Setophaga ruticilla","Passerine","known source",NA,"Feather","Keratin",-98.3,0.56,NA,NA
70,NA,26,2,"Setophaga ruticilla","Passerine","known source",NA,"Feather","Keratin",-91.8,0.56,NA,NA
71,NA,26,2,"Setophaga ruticilla","Passerine","known source",NA,"Feather","Keratin",-94.5,0.56,NA,NA
72,NA,26,2,"Setophaga ruticilla","Passerine","known source",NA,"Feather","Keratin",-102.3,0.56,NA,NA
73,NA,24,2,"Setophaga ruticilla","Passerine","known source",NA,"Feather","Keratin",-74.1,0.56,NA,NA
74,NA,27,2,"Setophaga ruticilla","Passerine","known source",NA,"Feather","Keratin",-70.3,0.56,NA,NA
75,NA,28,2,"Turdus migratorius","Passerine","known source",NA,"Feather","Keratin",-94.4,0.56,NA,NA
76,NA,29,2,"Turdus migratorius","Passerine","known source",NA,"Feather","Keratin",-96,0.56,NA,NA
77,NA,30,2,"Turdus migratorius","Passerine","known source",NA,"Feather","Keratin",-106.5,0.56,NA,NA
78,NA,31,2,"Turdus migratorius","Passerine","known source",NA,"Feather","Keratin",-109.7,0.56,NA,NA
79,NA,23,2,"Turdus migratorius","Passerine","known source",NA,"Feather","Keratin",-84.4,0.56,NA,NA
80,NA,32,2,"Turdus migratorius","Passerine","known source",NA,"Feather","Keratin",-84.1,0.56,NA,NA
81,NA,33,2,"Turdus migratorius","Passerine","known source",NA,"Feather","Keratin",-97.3,0.56,NA,NA
82,NA,34,2,"Turdus migratorius","Passerine","known source",NA,"Feather","Keratin",-104.1,0.56,NA,NA
83,NA,35,2,"Turdus migratorius","Passerine","known source",NA,"Feather","Keratin",-95.4,0.56,NA,NA
84,NA,36,2,"Turdus migratorius","Passerine","known source",NA,"Feather","Keratin",-128,0.56,NA,NA
85,NA,37,2,"Setophaga coronata auduboni","Passerine","known source",NA,"Feather","Keratin",-103.1,0.56,NA,NA
86,NA,38,2,"Setophaga coronata auduboni","Passerine","known source",NA,"Feather","Keratin",-108,0.56,NA,NA
87,NA,39,2,"Setophaga coronata auduboni","Passerine","known source",NA,"Feather","Keratin",-99.8,0.56,NA,NA
88,NA,40,2,"Setophaga coronata auduboni","Passerine","known source",NA,"Feather","Keratin",-111.6,0.56,NA,NA
89,NA,31,2,"Setophaga coronata auduboni","Passerine","known source",NA,"Feather","Keratin",-115.7,0.56,NA,NA
90,NA,41,2,"Setophaga coronata auduboni","Passerine","known source",NA,"Feather","Keratin",-112.1,0.56,NA,NA
91,NA,42,2,"Poecile atricapillus","Passerine","known source",NA,"Feather","Keratin",-102.8,0.56,NA,NA
92,NA,32,2,"Poecile atricapillus","Passerine","known source",NA,"Feather","Keratin",-89.9,0.56,NA,NA
93,NA,43,2,"Poecile atricapillus","Passerine","known source",NA,"Feather","Keratin",-75.7,0.56,NA,NA
94,NA,44,2,"Thryomanes bewickii","Passerine","known source",NA,"Feather","Keratin",-81,0.56,NA,NA
95,NA,45,2,"Thryothorus ludovicianus","Passerine","known source",NA,"Feather","Keratin",-67.5,0.56,NA,NA
96,NA,46,2,"Thryothorus ludovicianus","Passerine","known source",NA,"Feather","Keratin",-53.1,0.56,NA,NA
97,NA,47,2,"Spizella passerina","Passerine","known source",NA,"Feather","Keratin",-51.3,0.56,NA,NA
98,NA,48,2,"Spizella passerina","Passerine","known source",NA,"Feather","Keratin",-119.4,0.56,NA,NA
99,NA,49,2,"Spizella passerina","Passerine","known source",NA,"Feather","Keratin",-83.5,0.56,NA,NA
100,NA,43,2,"Spizella passerina","Passerine","known source",NA,"Feather","Keratin",-74.9,0.56,NA,NA
101,NA,43,2,"Spizella passerina","Passerine","known source",NA,"Feather","Keratin",-81.3,0.56,NA,NA
102,NA,43,2,"Spizella passerina","Passerine","known source",NA,"Feather","Keratin",-85.6,0.56,NA,NA
103,NA,43,2,"Spizella passerina","Passerine","known source",NA,"Feather","Keratin",-80.9,0.56,NA,NA
104,NA,31,2,"Spizella passerina","Passerine","known source",NA,"Feather","Keratin",-91.6,0.56,NA,NA
105,NA,50,2,"Spizella passerina","Passerine","known source",NA,"Feather","Keratin",-70.1,0.56,NA,NA
106,NA,45,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-64.4,0.56,NA,NA
107,NA,51,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-64.6,0.56,NA,NA
108,NA,52,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-75.4,0.56,NA,NA
109,NA,52,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-65.7,0.56,NA,NA
110,NA,53,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-44.5,0.56,NA,NA
111,NA,54,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-56.5,0.56,NA,NA
112,NA,39,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-100.8,0.56,NA,NA
113,NA,39,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-104.5,0.56,NA,NA
114,NA,55,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-65,0.56,NA,NA
115,NA,56,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-68.3,0.56,NA,NA
116,NA,51,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-66.6,0.56,NA,NA
117,NA,57,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-64,0.56,NA,NA
118,NA,58,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-73.7,0.56,NA,NA
119,NA,39,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-104.5,0.56,NA,NA
120,NA,39,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-62.1,0.56,NA,NA
121,NA,59,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-50.1,0.56,NA,NA
122,NA,45,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-71.3,0.56,NA,NA
123,NA,60,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-137.5,0.56,NA,NA
124,NA,61,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-69.8,0.56,NA,NA
125,NA,61,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-75.7,0.56,NA,NA
126,NA,62,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-59.7,0.56,NA,NA
127,NA,23,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-101.9,0.56,NA,NA
128,NA,44,2,"Geothlypis trichas","Passerine","known source",NA,"Feather","Keratin",-86,0.56,NA,NA
